626788431817912320,2015-07-30 16:16:21,Check out this massive list of book marketing tips and insights - http://t.co/Kaam48OWtg #publishing #writing
626098774763442176,2015-07-28 18:35:54,@focusatwill hi! I got an email about a new payment system you guys are integrating -- any news on that?
624368034040385536,2015-07-23 23:58:34,@blenderhd here's a story for you: http://t.co/LxsiQN4GqT
624025421433040896,2015-07-23 01:17:08,"@thegayngler @thirdtruck true for sure. I just got the impression it was more important to be ""cool"" than to know what you're doing."
623712920531136512,2015-07-22 04:35:22,@thirdtruck @thegayngler that was his response when I asked for job advice. #facepalm
623712716415352832,2015-07-22 04:34:34,"@thirdtruck @thegayngler ""...but do you want to get a beer with this person?"""
623712673209847809,2015-07-22 04:34:23,"@thirdtruck @thegayngler yeah, a guy that did a lot of hiring at a previous job told me he uses that exact metric. ""code you can learn..."
622604271024914434,2015-07-19 03:10:00,@kukubee @meowza they're so adorable!
620113144224964608,2015-07-12 06:11:09,@maxmechanic how's it going? have you checked out @OSFeels yet? Seems pretty great
619643554369961984,2015-07-10 23:05:10,Spiced rum and coke is truly the perfect drink &lt;3
619577869639880704,2015-07-10 18:44:09,@VersuStories is your SDK available? I'm a coder and writer really interested in using your engine to make a game
618576489022398464,2015-07-08 00:25:02,@thirdtruck I did PHP for 2.5 years once but the last time I've used it was 3 years ago or something
618575700350480385,2015-07-08 00:21:54,@thirdtruck I think its making a resurgence. I have a friend doing php for a pretty successful company
618086147638579200,2015-07-06 15:56:35,6 Digital Marketing Best Practices from @GA #socialmediastrategy http://t.co/nxLnW5EZEi
615555721548201984,2015-06-29 16:21:35,"Bus, car, and light rail collide on N Howard St at W Lexington in Baltimore. Howard St shut down - use caution http://t.co/0iIEuVKZIZ"
614258991447707648,2015-06-26 02:28:50,@xo_kaela @jenislosingit yes this! I remember that being one of the most captivating moments in the books when I was growing up.
612122308656803840,2015-06-20 04:58:25,"@_BrantM ...&gt;_&gt;
&lt;_&lt;

YOU DIDN'T HEAR IT FROM ME"
612102836399161344,2015-06-20 03:41:03,@WanderinDreamr thanks! I finally got one ^^
612098014304272384,2015-06-20 03:21:53,@WanderinDreamr I thought it was bestiality? Maybe there are alternate spellings
612097698280292352,2015-06-20 03:20:38,@_BrantM you've got 1.75 books to go man! but yeah I think overall its a good story/commentary
612097195009925120,2015-06-20 03:18:38,@_BrantM you just started the second book right?
612094799408054272,2015-06-20 03:09:07,"@_BrantM nope, you're pretty much right on there. :/"
612094510563094528,2015-06-20 03:07:58,@_BrantM I'm not the only one! Finally
612063749243973632,2015-06-20 01:05:44,@snipeyhead sweet!
612063558440894464,2015-06-20 01:04:58,@snipeyhead data architecture :)
612062346098315265,2015-06-20 01:00:09,@thirdtruck nice! say hi to them for me :)
611660585382469632,2015-06-18 22:23:42,@thirdtruck there are &lt;people that believe X thing&gt; and &lt;people who believe X thing&gt; that are out to harass everyone that doesn't believe X
611659461053149184,2015-06-18 22:19:14,"@thirdtruck I do not like nor agree with their opinion, but they keep it to themselves and I've never seen them say anything about in public"
